2020-06-01 00:32:03 INFO  b.c.m.p.e.EurekaServerApplication - The following profiles are active: dev
2020-06-01 00:32:04 WARN  o.s.boot.actuate.endpoint.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-06-01 00:32:05 INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2020-06-01 00:32:05 DEBUG i.m.c.u.i.l.InternalLoggerFactory - Using SLF4J as the default logging framework
2020-06-01 00:32:05 WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-06-01 00:32:05 INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-06-01 00:32:05 DEBUG c.n.hystrix.strategy.HystrixPlugins - Created HystrixDynamicProperties. Using class : com.netflix.hystrix.strategy.properties.archaius.HystrixDynamicPropertiesArchaius
2020-06-01 00:32:05 INFO  c.n.config.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@50085d9c
2020-06-01 00:32:05 WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-06-01 00:32:05 INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-06-01 00:32:06 WARN  o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2020-06-01 00:32:06 INFO  c.s.j.s.i.a.WebApplicationImpl - Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
2020-06-01 00:32:07 INFO  io.undertow - starting server: Undertow - 2.1.0.Final
2020-06-01 00:32:07 INFO  b.c.m.p.e.EurekaServerApplication - Started EurekaServerApplication in 4.415 seconds (JVM running for 5.224)
2020-06-01 00:32:43 INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-06-01 00:36:45 INFO  io.undertow - stopping server: Undertow - 2.1.0.Final
2020-06-01 00:36:45 INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2020-06-01 00:39:55 INFO  b.c.m.p.e.EurekaServerApplication - The following profiles are active: dev
2020-06-01 00:39:56 WARN  o.s.boot.actuate.endpoint.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-06-01 00:39:57 INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2020-06-01 00:39:57 DEBUG i.m.c.u.i.l.InternalLoggerFactory - Using SLF4J as the default logging framework
2020-06-01 00:39:57 WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-06-01 00:39:57 INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-06-01 00:39:57 DEBUG c.n.hystrix.strategy.HystrixPlugins - Created HystrixDynamicProperties. Using class : com.netflix.hystrix.strategy.properties.archaius.HystrixDynamicPropertiesArchaius
2020-06-01 00:39:57 INFO  c.n.config.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@2ad99cf3
2020-06-01 00:39:58 WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-06-01 00:39:58 INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-06-01 00:39:59 WARN  o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2020-06-01 00:40:00 INFO  c.s.j.s.i.a.WebApplicationImpl - Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
2020-06-01 00:40:00 INFO  io.undertow - starting server: Undertow - 2.1.0.Final
2020-06-01 00:40:00 INFO  b.c.m.p.e.EurekaServerApplication - Started EurekaServerApplication in 6.043 seconds (JVM running for 7.099)
2020-06-01 00:40:02 INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-06-01 00:48:03 INFO  io.undertow - stopping server: Undertow - 2.1.0.Final
2020-06-01 00:48:03 INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2020-06-01 00:48:08 INFO  b.c.m.p.e.EurekaServerApplication - The following profiles are active: dev
2020-06-01 00:48:10 WARN  o.s.boot.actuate.endpoint.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-06-01 00:48:10 INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2020-06-01 00:48:10 WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-06-01 00:48:10 INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-06-01 00:48:10 INFO  c.n.config.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@4f281aaf
2020-06-01 00:48:11 WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-06-01 00:48:11 INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-06-01 00:48:12 WARN  o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2020-06-01 00:48:13 INFO  c.s.j.s.i.a.WebApplicationImpl - Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
2020-06-01 00:48:13 INFO  io.undertow - starting server: Undertow - 2.1.0.Final
2020-06-01 00:48:13 INFO  b.c.m.p.e.EurekaServerApplication - Started EurekaServerApplication in 6.491 seconds (JVM running for 7.754)
2020-06-01 00:48:17 INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-06-01 00:51:21 INFO  io.undertow - stopping server: Undertow - 2.1.0.Final
2020-06-01 00:51:21 INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2020-06-01 00:57:30 INFO  b.c.m.p.e.EurekaServerApplication - The following profiles are active: dev
2020-06-01 00:57:31 WARN  o.s.boot.actuate.endpoint.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-06-01 00:57:32 INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2020-06-01 00:57:32 WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-06-01 00:57:32 INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-06-01 00:57:32 INFO  c.n.config.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@65c5bf0e
2020-06-01 00:57:32 WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-06-01 00:57:32 INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-06-01 00:57:33 WARN  o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2020-06-01 00:57:34 INFO  c.s.j.s.i.a.WebApplicationImpl - Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
2020-06-01 00:57:34 INFO  io.undertow - starting server: Undertow - 2.1.0.Final
2020-06-01 00:57:34 INFO  b.c.m.p.e.EurekaServerApplication - Started EurekaServerApplication in 4.715 seconds (JVM running for 5.674)
2020-06-01 00:57:48 INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-06-01 01:11:14 INFO  io.undertow - stopping server: Undertow - 2.1.0.Final
2020-06-01 01:11:14 INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
